"id","participant_id","trial_num","graph_type","graph_fctr","x1","y1","x2","y2","time1","time2","confidence","num_redos","reflection"
"51","9","3","3","cancer death rates","14.93","14.20","14.93","14.20","452","610","8","0","none"
"52","9","4","2","amounts spent on advertising directly to children","12.73","17.33","12.73","17.33","452","609","8","0",
"53","9","5","0","global burglary rates","18.87","14.07","18.87","14.07","2471","2665","8","0","none"
"54","9","6","1","yields of sunflower seed (kg/hectare)","16.53","20.47","16.53","20.47","855","1025","8","0","none"
"55","9","7","3","population of males over 80","18.67","21.93","18.67","21.93","545","715","8","0","none"
"56","9","8","2","death rate for the world population","16.47","15.53","16.47","15.53","619","800","8","0",
"57","10","1","2","death rate for the world population","16.60","18.07","16.60","18.07","2682","2833","8","0","none"
"58","10","2","3","cancer death rates","17.87","22.33","17.87","22.33","784","952","8","0","none"
"59","10","3","0","global economy growth rates","18.20","16.47","18.20","16.47","518","687","8","0","none"
"60","10","4","1","yields of sunflower seed (kg/hectare)","15.73","25.80","15.73","25.80","757","927","8","0",
"61","10","5","2","percentage of workers who will have adequate health service","14.60","23.27","14.60","23.27","927","1109","8","0","none"
"62","10","6","3","population of males over 80","16.93","24.67","16.93","24.67","731","1021","8","0","none"
"63","10","7","0","amount of books published","18.53","24.40","18.53","24.40","1090","1271","8","0","none"
"64","10","8","1","traffic accident health rate per 10,000 accidents","16.80","24.07","16.80","24.07","848","1054","8","0",
"65","11","1","2","death rate for the world population","14.80","12.06","16.80","17.00","8469","12781","5","0","none"
"66","11","2","0","global economy growth rates","15.87","19.02","19.87","12.09","30973","35824","6","0","none"
"67","11","3","1","traffic accident health rate per 10,000 accidents","16.00","11.06","20.07","11.80","31248","35408","3","0","none"
"68","11","4","3","population of males over 80","15.87","16.82","20.07","18.09","7316","7814","2","3",
"69","11","5","2","percentage of workers who will have adequate health service","16.13","14.13","20.00","22.80","13182","17165","6","0","none"
"70","11","5","2","percentage of workers who will have adequate health service","16.13","14.13","20.00","22.80","13182","17165","6","0","none"
"71","11","5","2","percentage of workers who will have adequate health service","16.13","14.13","20.00","22.80","13182","17165","6","0","none"
"72","11","8","3","cancer death rates","16.00","16.60","20.00","17.00","57951","64920","6","0","the first one was a difference of 40, then 20 so I inferred that the increase was decreasing by half therefore the next in the patterns were 10 and 5"
"73","12","1","2","percentage of workers who will have adequate health service","13.40","28.27","13.40","28.27","2146","2321","8","0","none"
"74","12","2","3","population of males over 80","17.13","25.33","17.13","25.33","3856","4024","7","3","none"
"75","12","3","1","students who eat breakfast","18.33","21.60","18.33","21.60","1354","1549","7","0","none"
"76","12","4","0","global economy growth rates","12.20","24.80","12.20","24.80","1181","1374","7","0","dianna testing"
"77","12","5","2","amounts spent on advertising directly to children","18.07","19.33","18.07","19.33","1797","1979","7","1","none"
"78","12","6","3","cancer death rates","15.87","15.53","15.87","15.53","1663","1881","6","0","none"
"79","12","7","1","yields of sunflower seed (kg/hectare)","14.80","19.27","14.80","19.27","1066","1237","6","0","none"
"80","12","8","0","amount of books published","18.80","23.93","18.80","23.93","1047","1231","7","0","dianna testing"
"81","13","1","2","percentage of workers who will have adequate health service","18.60","21.73","18.60","21.73","2023","2266","7","0","none"
"82","13","2","0","amount of books published","16.20","22.73","16.20","22.73","1166","1334","6","0","none"
"83","13","3","3","population of males over 80","15.07","23.80","15.07","23.80","1126","1332","6","0","none"
"84","13","4","1","striped dolphin populations","17.93","15.93","17.93","15.93","2994","3162","7","3","dianna testing 2"
"85","13","5","2","amounts spent on advertising directly to children","17.53","21.87","17.53","21.87","2022","2201","7","0","none"
"86","13","6","0","global economy growth rates","15.47","21.13","15.47","21.13","1067","1632","6","0","none"
"87","13","7","3","cancer death rates","17.33","18.47","17.33","18.47","937","1130","8","0","none"
"88","13","8","1","traffic accident health rate per 10,000 accidents","17.73","13.27","17.73","13.27","1366","1550","8","1","dianna testing 2"
"89","14","1","1","yields of sunflower seed (kg/hectare)","15.93","11.13","20.00","10.87","40878","48846","6","0","none"
"90","14","2","3","population of males over 80","16.07","16.80","16.07","16.80","10171","11514","6","0","none"
"91","14","3","0","global economy growth rates","16.07","19.07","19.93","13.87","9369","14593","4","0","none"
"92","14","4","2","death rate for the world population","16.00","12.80","20.00","17.47","7074","11154","6","0",
"93","14","5","1","students who eat breakfast","16.00","11.60","20.00","11.47","10321","14121","8","0","none"
"94","14","6","3","cancer death rates","16.07","16.87","20.00","16.33","7389","9654","3","0","none"
"95","14","7","0","global burglary rates","16.00","19.07","20.07","13.87","6878","11422","5","0","none"
"96","14","8","2","amounts spent on advertising directly to children","15.87","12.67","19.93","16.93","5859","10683","5","0",
"97","15","1","0","global burglary rates","15.87","25.00","19.87","27.93","23492","27240","6","1","none"
"98","15","2","2","percentage of workers who will have adequate health service","15.27","12.93","18.93","13.93","14346","22889","8","0","none"
"99","15","3","1","traffic accident health rate per 10,000 accidents","15.93","10.07","20.00","5.00","17939","20405","7","0","none"
"100","15","4","3","population of males over 80","15.13","17.00","17.27","17.73","102028","102950","3","0","Imagination"
"101","15","5","0","amount of books published","15.87","22.13","19.67","21.00","16742","19693","6","0","none"
"102","15","6","2","death rate for the world population","15.13","13.20","20.00","11.93","10525","14697","7","0","none"
"103","15","7","1","students who eat breakfast","15.93","11.00","19.93","11.00","12078","13223","7","1","none"
"104","15","8","3","cancer death rates","15.07","16.93","18.87","14.27","8934","11810","7","0","Imagination"
"105","16","1","1","traffic accident health rate per 10,000 accidents","15.93","11.07","20.00","10.53","28350","31603","6","1","none"
"106","16","2","0","global economy growth rates","15.93","19.93","20.87","18.00","40691","43981","3","0","none"
"107","16","3","3","cancer death rates","16.00","16.13","19.73","16.20","16625","18624","3","0","none"
"108","16","4","2","amounts spent on advertising directly to children","15.87","14.80","19.87","21.87","8028","10274","4","0",
"109","16","5","1","yields of sunflower seed (kg/hectare)","15.93","11.20","19.87","10.80","5653","8993","6","0","none"
"110","16","6","0","global burglary rates","14.93","21.13","18.93","17.53","4990","6549","3","0","none"
"111","16","7","3","population of males over 80","16.00","16.60","20.00","16.93","5141","6662","6","0","none"
"112","16","8","2","percentage of workers who will have adequate health service","15.80","13.00","20.00","18.40","4579","5977","6","0",
"113","17","1","2","death rate for the world population","15.93","13.00","19.87","17.00","36828","39101","6","1","none"
"114","17","2","1","striped dolphin populations","15.93","11.07","20.00","10.47","21431","26840","5","0","none"
"115","17","3","0","global economy growth rates","16.13","16.07","20.00","7.80","39104","47384","4","0","none"
"116","17","4","3","population of males over 80","15.87","17.20","19.87","18.87","11852","15276","6","0","the first jump was .2% then .1%, then it goes up .1% then I came to the conclusion that it will go up the same amount then .2% because of the fact that people are living longer and technology will be better."
"117","17","5","2","percentage of workers who will have adequate health service","15.80","17.93","19.00","26.00","18575","20854","7","0","none"
"118","17","6","1","traffic accident health rate per 10,000 accidents","16.00","11.07","19.87","8.93","16691","19267","6","0","none"
"119","17","7","0","amount of books published","16.13","18.07","20.07","7.20","14130","21283","7","0","none"
"120","17","8","3","cancer death rates","15.87","17.00","20.07","18.13","13272","14184","6","1","I believe that the rate of cancer deaths will increase steadily as cancer becomes more drug resistant."
"121","18","1","3","cancer death rates","15.93","18.03","20.00","19.89","43275","45036","6","1","none"
"122","18","2","1","students who eat breakfast","16.00","11.18","19.07","10.98","31814","35903","7","0","none"
"123","18","3","2","percentage of workers who will have adequate health service","16.00","12.00","19.93","16.07","36138","0","6","2","none"
"124","18","4","0","amount of books published","16.00","19.88","19.80","17.28","21900","28079","3","1","I took published books to be hardcopies, and given the trend in e-books, published books will continue to decline, but that decline will begin to slow because people still like hardcopies of books."
"125","18","5","3","population of males over 80","15.93","17.08","20.07","18.68","20510","27479","6","0","none"
"126","18","6","1","yields of sunflower seed (kg/hectare)","16.13","10.92","19.93","10.85","17537","0","4","1","none"
"127","18","7","2","amounts spent on advertising directly to children","16.00","13.12","20.00","18.06","24086","29059","5","0","none"
"128","18","8","0","global economy growth rates","15.87","22.02","19.93","23.42","29431","0","1","1","The economy is slowly turning around and will begin to grow again in the future."
"129","19","1","1","traffic accident health rate per 10,000 accidents","15.87","11.40","19.93","11.13","81715","87441","1","2","none"
"130","19","2","2","percentage of workers who will have adequate health service","16.07","12.60","19.93","15.93","25394","31411","4","0","none"
"131","19","3","3","cancer death rates","16.07","17.40","19.93","19.00","12903","17436","7","0","none"
"132","19","4","0","amount of books published","16.00","20.07","20.07","16.87","13811","15905","4","1","its trending downward, initial points look almost linear..."
"133","19","5","1","students who eat breakfast","16.00","11.60","20.00","11.60","8643","11995","3","0","none"
"134","19","6","2","amounts spent on advertising directly to children","15.93","13.20","20.00","20.00","14046","24634","5","0","none"
"135","19","7","3","population of males over 80","16.00","17.40","20.00","18.67","9810","15073","7","0","none"
"136","19","8","0","global economy growth rates","16.00","20.67","20.00","14.93","12939","20867","7","0","trending downward but with some curve.. not exactly linear... "
"137","20","1","3","population of males over 80","16.00","16.53","20.00","16.87","17953","23384","8","1","none"
"138","20","2","0","amount of books published","16.00","16.00","19.93","0.07","49388","93440","8","0","none"
"139","20","3","2","death rate for the world population","16.00","16.93","20.00","32.93","32026","55496","8","0","none"
"140","20","4","1","traffic accident health rate per 10,000 accidents","16.00","11.47","20.00","11.20","17442","0","8","1","The rate of traffic accident death went down once per year between 2007 and 2009.  This rate decreased by half to once every two years between 2009 and 2011.  If the math continued at this rate, the graph would be correct."
"141","20","5","3","cancer death rates","16.00","16.47","20.00","16.73","32092","37331","8","0","none"
"142","20","6","0","global economy growth rates","16.00","16.00","20.00","0.93","49857","70267","8","0","none"
"143","20","7","2","amounts spent on advertising directly to children","16.00","14.93","20.00","26.93","35863","52685","8","0","none"
"144","20","8","1","students who eat breakfast","16.00","11.53","20.00","11.13","14403","18171","8","0","You've asked the same question 8 times in a row with different completely made-up theoretical scenarios.  It's impossible to predict a system based on three variable points so the estimated guess would graph 2013 and 2015 respectively."
"145","21","1","2","death rate for the world population","15.93","12.13","19.93","16.13","17123","21225","6","2","none"
"146","21","2","1","yields of sunflower seed (kg/hectare)","15.93","11.20","19.93","10.93","13401","16853","7","0","none"
"147","21","3","0","global economy growth rates","15.80","21.13","19.80","18.33","13392","16650","5","1","none"
"148","21","4","3","cancer death rates","16.07","17.00","20.07","17.67","19092","22170","7","0","The trend seemed to be a Logarithmic function and I applied the approximate points given the steepness of the curve. This decision was made on a purely mathematical basis. "
"149","21","5","2","amounts spent on advertising directly to children","16.20","12.87","19.93","18.20","19953","26921","8","2","none"
"150","21","6","1","traffic accident health rate per 10,000 accidents","15.93","11.53","19.93","11.53","18864","27323","6","0","none"
"151","21","7","0","amount of books published","16.07","17.93","20.07","10.07","9470","14024","7","1","none"
"152","21","8","3","population of males over 80","15.93","17.13","19.93","17.93","15845","20243","7","1","Another Logarithmic function. Points added based on the apparent trend. "
"153","22","1","0","amount of books published","16.00","21.93","20.00","18.07","14208","14833","6","1","none"
"154","22","2","1","traffic accident health rate per 10,000 accidents","16.00","10.07","20.00","9.07","15383","18656","8","0","none"
"155","22","3","3","population of males over 80","16.00","17.00","20.07","19.13","17866","20843","6","0","none"
"156","22","4","2","death rate for the world population","16.07","11.93","20.00","15.00","11114","14943","6","0","Since the world population will stop growing after it reaches 10 billion people, the death rate will increase to balance the birth rate after the carrying capacity is reached."
"157","22","5","0","global economy growth rates","16.00","19.07","20.07","18.13","25339","43763","6","0","none"
"158","22","6","1","students who eat breakfast","16.00","10.00","20.07","9.00","9053","10639","6","0","none"
"159","22","7","3","cancer death rates","15.93","18.07","20.00","19.07","7193","8269","6","0","none"
"160","22","8","2","percentage of workers who will have adequate health service","15.93","11.07","20.00","14.07","15521","17689","6","0","With the increasing coverage of health care and better technology to treat diseases, the world's adequate health service will increase."
"161","23","1","0","amount of books published","16.13","20.93","19.73","17.20","29585","35608","8","1","none"
"162","23","2","2","percentage of workers who will have adequate health service","15.80","11.93","20.07","14.93","20996","24804","7","1","none"
"163","23","3","1","yields of sunflower seed (kg/hectare)","16.00","11.00","20.07","9.93","13970","17019","7","0","none"
"164","23","4","3","cancer death rates","15.93","17.13","20.00","18.00","8350","11422","7","1","linearly increasing in every two years"
"165","23","5","0","global economy growth rates","16.00","21.87","20.00","23.00","20081","25353","6","0","none"
"166","23","6","2","death rate for the world population","16.13","10.87","20.00","12.20","29623","32707","6","0","none"
"167","23","7","1","traffic accident health rate per 10,000 accidents","16.13","10.00","20.13","9.00","10767","13895","7","0","none"
"168","23","8","3","population of males over 80","16.00","17.00","20.00","17.73","14913","17105","7","0","more and more people are having longer lives. but asymptotically, not linearly. "
"169","24","1","0","amount of books published","15.80","19.33","19.87","13.80","117750","130142","1","0","none"
"170","24","2","2","percentage of workers who will have adequate health service","16.00","12.00","20.00","17.00","31583","36367","1","1","none"
"171","24","3","3","population of males over 80","16.00","16.87","20.87","17.87","19293","0","1","1","none"
"172","24","4","1","striped dolphin populations","15.93","11.33","19.93","10.87","31930","33841","1","1","it seems like the population decreases, but the rate at which it does also decreases"
"173","24","5","0","global burglary rates","15.73","19.60","20.00","13.80","31957","40972","1","0","none"
"174","24","6","2","amounts spent on advertising directly to children","16.87","13.40","21.07","17.60","14645","19344","1","0","none"
"175","24","7","3","cancer death rates","15.93","16.60","19.80","17.00","11268","13950","1","2","none"
"176","24","8","1","yields of sunflower seed (kg/hectare)","15.93","11.47","20.13","10.87","9538","13399","1","0","It decreases but not linearly, the decrease is slower. "
"177","25","1","0","global burglary rates","15.93","16.13","20.00","4.07","146201","180963","6","0","none"
"178","25","2","2","percentage of workers who will have adequate health service","16.07","12.13","20.00","15.07","144220","161776","6","0","none"
"179","25","3","3","cancer death rates","15.93","16.53","20.00","17.07","120049","130425","6","0","none"
"180","25","4","1","students who eat breakfast","16.00","11.53","20.20","11.27","154459","166640","7","0",
"181","25","5","0","global economy growth rates","15.93","18.13","19.93","10.13","131816","143179","6","0","none"
"182","25","6","2","death rate for the world population","16.07","13.13","20.00","18.07","75602","87689","7","0","none"
"183","25","7","3","population of males over 80","16.00","16.53","20.00","17.73","137403","153889","7","0","none"
"184","25","8","1","striped dolphin populations","16.00","11.47","20.00","10.73","35252","45784","7","0",
"185","26","1","1","striped dolphin populations","16.07","11.00","20.00","9.93","29889","32610","8","0","none"
"186","26","2","0","amount of books published","15.93","20.07","20.80","15.13","29795","41383","6","0","none"
"187","26","3","2","amounts spent on advertising directly to children","16.00","13.13","19.67","17.80","15674","18046","5","0","none"
"188","26","4","3","population of males over 80","15.87","16.87","19.80","18.07","8729","10363","5","0","It seems like there is a slight upward trend, which I follow. Only with a lot of background information could I predict that the trend would not continue."
"189","26","5","1","students who eat breakfast","16.07","11.07","19.87","9.00","9292","11068","6","0","none"
"190","26","6","0","global burglary rates","16.07","19.93","20.07","15.07","10998","12827","5","0","none"
"191","26","7","2","death rate for the world population","15.93","12.20","20.00","15.13","17240","22172","5","1","none"
"192","26","8","3","cancer death rates","15.87","16.87","19.93","18.00","14323","17937","5","0","Again, this was an upward trend that I could see no reason would shift into a downward trend."
"193","27","1","0","global economy growth rates","16.00","17.00","20.00","9.93","28252","29546","4","1","none"
"194","27","2","3","cancer death rates","16.00","17.13","20.07","19.00","33250","43235","5","0","none"
"195","27","3","1","yields of sunflower seed (kg/hectare)","16.07","13.00","20.00","13.13","16816","20271","6","0","none"
"196","27","4","2","percentage of workers who will have adequate health service","15.93","12.07","20.00","16.00","12323","13365","5","0",
"197","27","5","0","amount of books published","15.93","19.07","19.87","10.00","6523","7685","5","1","none"
"198","27","6","3","population of males over 80","18.00","14.93","21.27","10.93","5071","8005","4","0","none"
"199","27","7","1","striped dolphin populations","16.67","12.87","19.80","15.13","21308","23031","5","0","none"
"200","27","8","2","amounts spent on advertising directly to children","17.00","12.80","20.93","18.07","16913","17884","6","0",
"201","28","1","2","amounts spent on advertising directly to children","16.07","12.07","20.07","16.00","30534","36975","5","0","none"
"202","28","2","0","global economy growth rates","15.07","24.27","19.93","26.47","9059","21512","4","0","none"
"203","28","3","1","traffic accident health rate per 10,000 accidents","16.07","12.33","20.07","11.73","16020","19052","4","0","none"
"204","28","4","3","population of males over 80","15.93","18.13","20.00","20.33","10520","13839","6","0","In general, life spans are going up. That means the proportion of old people will increase."
"205","28","5","2","death rate for the world population","16.20","11.13","20.07","12.87","13115","20034","4","0","none"
"206","28","6","0","amount of books published","16.07","20.27","20.20","16.00","11344","14699","5","0","none"
"207","28","7","1","students who eat breakfast","16.07","11.27","20.07","10.40","9610","12242","4","0","none"
"208","28","8","3","cancer death rates","16.07","18.27","19.93","19.87","21580","23260","5","1","Cancer's increasing. It should continue to increase."
"209","29","1","2","percentage of workers who will have adequate health service","14.00","10.20","16.67","10.13","21032","38024","4","0","none"
"210","29","2","3","cancer death rates","15.93","16.13","20.00","16.07","24023","27303","6","0","none"
"211","29","3","0","global burglary rates","16.13","23.87","21.00","23.93","12077","13621","4","0","none"
"212","29","4","1","yields of sunflower seed (kg/hectare)","15.80","12.07","20.00","12.00","12521","14073","6","0",
"213","29","5","2","death rate for the world population","16.00","12.20","21.00","13.13","11683","13755","7","0","none"
"214","29","6","3","population of males over 80","15.87","18.00","20.00","19.00","10993","12657","7","0","none"
"215","29","7","0","global economy growth rates","15.07","23.00","19.80","21.93","14151","16095","2","0","none"
"216","29","8","1","striped dolphin populations","15.93","9.87","19.87","8.27","8317","10133","7","0","They will be killed by whaling fleets - maybe by mistake, but maybe not.   Also the climate is changing so that it will not be advantageous for dolphins."
"217","30","1","3","population of males over 80","16.27","16.87","20.87","17.33","39735","42265","6","3","none"
"218","30","2","1","striped dolphin populations","16.00","11.20","20.13","10.80","48724","0","6","3","none"
"219","30","3","0","global economy growth rates","17.00","25.87","23.07","27.60","34921","0","5","1","none"
"220","30","4","2","death rate for the world population","14.40","12.07","18.07","14.60","20891","22867","6","1","increase of population rate in 3rd world countries are decreasing and life quality in 3rd world countries are increasing slowly"
"221","30","5","3","cancer death rates","15.93","16.13","20.13","16.20","23429","25142","8","0","none"
"222","30","6","1","yields of sunflower seed (kg/hectare)","15.73","11.40","20.00","11.20","35461","37960","2","1","none"
"223","30","7","0","amount of books published","16.80","16.40","19.73","6.20","9291","11894","7","0","none"
"224","30","8","2","percentage of workers who will have adequate health service","14.80","11.87","17.67","15.87","8151","9668","5","1","worker numbers in countries like China, India etc are increasing very fast and these are fast developing countries"
"225","31","1","3","cancer death rates","16.13","16.40","20.07","16.60","48673","49720","4","2","none"
"226","31","2","1","students who eat breakfast","16.13","11.40","20.07","11.20","15727","23212","4","1","none"
"227","31","3","0","amount of books published","16.33","17.67","20.33","14.47","26534","29112","1","1","none"
"228","31","4","2","death rate for the world population","16.07","14.87","20.13","23.00","25810","36642","2","0","Problematic extrapolation from previous dataâ€”inference was questionable, and difficultly with orders of magnitude was evident (if the magnitude of the slope of the curve had been decreasing things would have been easier"
"229","31","5","3","population of males over 80","16.07","16.40","20.00","16.60","15743","20730","4","0","none"
"230","31","6","1","yields of sunflower seed (kg/hectare)","16.13","11.40","20.07","11.13","7586","12522","3","0","none"
"231","31","7","0","global economy growth rates","16.07","21.27","20.40","22.33","15300","0","1","1","none"
"232","31","8","2","amounts spent on advertising directly to children","16.00","12.87","20.20","17.67","14086","24822","2","0",
"233","32","1","3","population of males over 80","16.27","16.93","20.07","17.33","29179","34499","6","0","none"
"234","32","2","0","amount of books published","15.87","17.33","19.93","9.20","17927","19391","5","1","none"
"235","32","3","1","students who eat breakfast","16.00","11.40","21.00","11.13","12947","18347","6","0","none"
"236","32","4","2","amounts spent on advertising directly to children","16.07","13.13","20.00","19.27","28319","38149","5","0","I'm eyeballing the points and visually extrapolating the curve they seem to form.  There's a feel to it."
"237","32","5","3","cancer death rates","15.93","16.20","19.93","16.27","19725","23093","3","0","none"
"238","32","6","0","global economy growth rates","15.93","22.07","19.93","21.80","27464","36251","6","0","none"
"239","32","7","1","yields of sunflower seed (kg/hectare)","16.00","11.60","20.00","11.53","16434","19362","5","0","none"
"240","32","8","2","percentage of workers who will have adequate health service","16.00","12.67","19.93","16.73","11219","0","5","1","Again,I'm eyeballing it and getting a feel for the curve.  This one seemed to be heading for a levelling out, so I kept it more linear."
"241","33","1","3","cancer death rates","16.00","17.07","20.07","18.00","28607","30555","6","1","none"
"242","33","2","2","death rate for the world population","16.00","12.00","19.93","15.07","13418","18083","6","0","none"
"243","33","3","0","amount of books published","15.93","19.20","19.93","14.27","10094","15421","6","0","none"
"244","33","4","1","striped dolphin populations","16.00","10.87","20.00","10.07","7818","10505","6","0","exponential decline"
"245","33","5","3","population of males over 80","16.07","16.73","20.00","17.07","12420","16454","5","0","none"
"246","33","6","2","amounts spent on advertising directly to children","16.00","11.53","20.07","15.60","13588","0","4","2","none"
"247","33","7","0","global burglary rates","16.07","18.87","20.00","11.00","8427","12775","6","0","none"
"248","33","8","1","yields of sunflower seed (kg/hectare)","16.00","11.20","20.00","10.27","6125","8649","5","0","sigmoid curve"
"249","34","1","2","death rate for the world population","15.80","13.27","19.93","19.07","25458","28122","5","1","none"
"250","34","2","1","students who eat breakfast","16.00","11.27","20.87","11.07","19496","22688","5","0","none"
"251","34","3","3","population of males over 80","16.00","16.13","19.87","16.33","34685","36665","4","0","none"
"252","34","4","0","amount of books published","15.00","21.00","19.53","15.47","8072","9747","4","0","Improvements in tablet technologynDecline of printing industry"
"253","34","5","2","amounts spent on advertising directly to children","15.93","13.47","19.87","17.20","11231","14914","3","0","none"
"254","34","6","1","yields of sunflower seed (kg/hectare)","16.07","11.00","19.80","10.80","10400","12192","4","0","none"
"255","34","7","3","cancer death rates","15.93","16.67","19.13","17.67","7734","8880","3","0","none"
"256","34","8","0","global burglary rates","14.87","21.13","19.00","16.93","18028","18786","3","0","I extrapolated based on the increasingly downward slope of the previous points. "
"257","35","1","3","population of males over 80","13.93","13.87","18.93","10.87","72311","79467","3","0","none"
"258","35","2","2","death rate for the world population","14.93","10.07","19.00","11.00","20091","22921","4","0","none"
"259","35","3","1","traffic accident health rate per 10,000 accidents","15.87","10.80","20.00","10.00","14741","20752","5","1","none"
"260","35","4","0","global burglary rates","16.00","21.07","20.07","17.93","25201","27594","3","0",
"261","35","5","3","cancer death rates","15.00","17.07","19.00","17.47","25657","35325","2","0","none"
"262","35","6","2","percentage of workers who will have adequate health service","15.73","10.13","20.20","10.60","13548","15151","1","0","none"
"263","35","7","1","striped dolphin populations","16.07","11.07","19.13","9.93","16460","22705","6","0","none"
"264","35","8","0","amount of books published","14.93","22.13","18.93","19.33","13700","16616","4","0",
"265","36","1","0","global economy growth rates","15.87","22.13","20.00","23.13","37647","0","6","1","none"
